,ADM0_A3,net_export,population,final_demand,CONTINENT,CONTINENT_code,demand_capita,net_export_capita,colors
35,TWN,-814.95430264475,24116816.517371673,204673333.5359041,Asia,1,8.48674755179545,-3.379195185474531e-05,#beaed4
36,ARM,-783.7422496848731,2796981.6488053086,11651546.117862735,Asia,1,4.165757084190927,-0.0002802100078202649,#beaed4
37,RWA,-744.2124835599898,13704742.026523137,9801564.669983877,Africa,0,0.7151951237764752,-5.430328291621224e-05,#7fc97f
38,HRV,-673.9029083591861,4192379.7697633607,48272473.51339102,Europe,2,11.5143370029466,-0.00016074471907806783,#fdc086
39,TJK,-619.5449757616584,9241116.24855163,7601495.73671765,Asia,1,0.8225733268866778,-6.70422229412773e-05,#beaed4
40,JAM,-549.2172767915808,2783567.5918359016,16208129.150036694,North America,3,5.822789860599945,-0.0001973069662121424,#a6cee3
41,BEN,-479.50215895249937,13087119.626750173,9289752.767616447,Africa,0,0.7098393712722028,-3.663924321226447e-05,#7fc97f
42,KGZ,-458.3583294789835,6116964.314036992,9224953.410363132,Asia,1,1.508093383705711,-7.493232033856387e-05,#beaed4
43,BFA,-394.54455948778514,22817887.22274652,13379662.71148516,Africa,0,0.5863672907519388,-1.7291020664458125e-05,#7fc97f
44,SDS,-384.55455840326096,16475203.23718785,10255647.489640903,Africa,0,0.6224898923548234,-2.334141514778063e-05,#7fc97f
45,LSO,-332.27552656763595,1654606.0510468106,2620074.3078005114,Africa,0,1.583503400185732,-0.00020081851287647413,#7fc97f
46,SWZ,-255.12299834321325,1077422.9579367847,3963608.8829517867,Africa,0,3.678786361246576,-0.00023679001497402843,#7fc97f
47,NER,-243.9525710679257,23781181.041876942,11230103.594090968,Africa,0,0.47222648758762514,-1.0258219330585089e-05,#7fc97f
48,CAF,-190.93390177770658,5602344.504548933,1861157.5513595932,Africa,0,0.33221047899649686,-3.408107116987791e-05,#7fc97f
49,TGO,-139.13907229954464,8768743.437372752,4905867.364789343,Africa,0,0.5594721067878815,-1.586761812491036e-05,#7fc97f
50,BDI,-138.61695584499103,11301644.91717482,2339158.9049250595,Africa,0,0.2069750838986544,-1.2265201823350369e-05,#7fc97f
51,BOL,-134.44659934445008,11958459.874454644,36567155.26350133,South America,6,3.057848221878066,-1.1242802230047322e-05,#bf5b17
52,SVK,-37.28337785709846,5446394.1222897675,85754184.21128784,Europe,2,15.745130133042071,-6.845515954218866e-06,#fdc086
53,ERI,-37.24555564554737,4390527.869685245,5019149.032949252,Africa,0,1.1431766707607924,-8.483161194058765e-06,#7fc97f
54,TCD,-37.06708531044882,16456546.893724857,10278058.819175972,Africa,0,0.6245574412147884,-2.2524218203141444e-06,#7fc97f
55,SLE,-19.143135043083134,6802602.292371553,4925465.337151177,Africa,0,0.7240560487674842,-2.8140899938469532e-06,#7fc97f
56,MLI,-10.830723185461466,23289677.19905054,16139237.261676729,Africa,0,0.6929781432236719,-4.6504393740171747e-07,#7fc97f
57,HND,-1.8616036403636826,9673436.96266998,25131390.621470474,North America,3,2.5979794687713476,-1.9244490324872688e-07,#a6cee3
58,GMB,-0.3941123250793055,2300513.442152268,1623605.50235451,Africa,0,0.7057578854377525,-1.713149412031211e-07,#7fc97f
59,STP,12.849513890812133,221327.2823568256,443544.4309214653,Africa,0,2.004020589772477,5.805661983458526e-05,#7fc97f
60,VGB,18.027657509043426,90296.63786959347,650009.9712797413,North America,3,7.198606577339973,0.00019964926639991839,#a6cee3
