,ADM0_A3,NAME,net_export,population,final_demand,CONTINENT,CONTINENT_code,net_export_capita,Colony,Colony_code
138,MDA,Moldova,-1540.6405984274484,3532321.7118655248,178768257.72064072,Europe,2,-0.000436155232761568,RUS_colony,9
139,ROU,Romania,-16225.407631850965,33144182.123947073,181800507592.45633,Europe,2,-0.0004895401422540432,Z_Other,11
140,RUS,Russia,-13291.401035606461,143377575.41945323,1174920909704.3992,Europe,2,-9.270209094220117e-05,A_Colonizer,0
141,RWA,Rwanda,-757.502308090226,13704742.026523137,9801564669.983877,Africa,0,-5.527300744692694e-05,BEL_colony,1
142,WSM,Samoa,33.33155672813093,256394.8933137402,905419025.6080061,Oceania,4,0.000130000860381195,Z_Other,11
143,SMR,San Marino,70.8290137548862,6383.400437729859,890122709.1656954,Europe,2,0.011095812403721811,Z_Other,11
144,STP,São Tomé and Principe,8.596938000599195,221327.2823568256,443544430.9214653,Africa,0,3.88426492615544e-05,Z_Other,11
145,SAU,Saudi Arabia,37645.48636511252,36856019.03385983,638018835685.4972,Asia,1,0.0010214203094080076,Z_Other,11
146,SEN,Senegal,98.37577710136156,16769110.729353016,20906298828.020977,Africa,0,5.866487417795057e-06,FRA_colony,3
147,SRB,Serbia,6104.41635685544,7207824.682464472,40636441290.919426,Europe,2,0.0008469152103139448,Z_Other,11
148,SYC,Seychelles,174.94764653068276,105109.54404311148,1362116118.1560407,Other,5,0.0016644315996549909,GBR_colony,4
149,SLE,Sierra Leone,-83.09129445404665,6802602.292371553,4925465337.151177,Africa,0,-1.2214633589152393e-05,GBR_colony,4
150,SGP,Singapore,7011.221559213811,4436375.266453107,228504699834.66537,Asia,1,0.0015803941592207325,GBR_colony,4
151,SVK,Slovakia,-108.57373979573413,5446394.1222897675,85754184211.28784,Europe,2,-1.993497667592364e-05,Z_Other,11
152,SVN,Slovenia,200.53918373623083,2163416.7730561527,40504226555.53814,Europe,2,9.269558516593127e-05,Z_Other,11
153,SOM,Somalia,830.812909080071,9256181.832906216,1171462048.3841486,Africa,0,8.975762620895012e-05,ITA_colony,5
154,ZAF,South Africa,648.70553124246,60200171.23810934,300108107361.7147,Africa,0,1.0775808737763208e-05,Z_Other,11
155,SDS,S. Sudan,-470.41846001533565,16475203.23718785,10255647489.640903,Africa,0,-2.855312030102952e-05,Z_Other,11
156,ESP,Spain,7312.159377833046,53262246.213412285,1170233841099.5735,Europe,2,0.00013728597454441805,A_Colonizer,0
157,LKA,Sri Lanka,108.5060701714774,21636246.23728932,87247872555.99487,Asia,1,5.015013647999205e-06,GBR_colony,4
158,SUD,,-25.044124543650014,42523827.02118836,87974384290.3812,Africa,0,-5.889433359601258e-07,GBR_colony,4
159,SUR,Suriname,82.89233344167538,673345.0149995409,3041924315.6268134,South America,6,0.00012310529014866457,NLD_colony,7
160,SWZ,eSwatini,-519.3919039768042,1077422.9579367847,3963608882.9517865,Africa,0,-0.000482068717907604,GBR_colony,4
161,SWE,Sweden,4987.059895419185,10354931.918229472,491394904696.0987,Europe,2,0.0004816120409869283,Z_Other,11
162,CHE,Switzerland,6752.9475942522295,8760603.726424845,586060417533.3551,Europe,2,0.0007708313039982772,Z_Other,11
163,SYR,Syria,-3952.2836944757278,26663566.04902693,14367350769.748596,Asia,1,-0.00014822787346630868,FRA_colony,3
164,TWN,Taiwan,-1140.2951722210819,24116816.517371673,204673333535.9041,Asia,1,-4.728215979085431e-05,JPN_colony,6
165,TJK,Tajikistan,-623.091928022866,9241116.24855163,7601495736.717649,Asia,1,-6.742604586545742e-05,RUS_colony,9
166,THA,Thailand,-6685.971255235832,74912319.77530849,361847584574.7947,Asia,1,-8.925062359955866e-05,Z_Other,11
167,MKD,Macedonia,-512.6019502991344,2174479.9711354338,10749523467.438507,Europe,2,-0.00023573542046996756,Z_Other,11
