,CHN_pro,USA_pro,IND_pro,ROW_pro,IDN_pro,CHN_con,USA_con,IND_con,JPN_con,IDN_con
21.38671875,3.7125367106783484e-05,0.04646988230472126,0.004324373471800069,0.49376742958238606,0.0002472175254299061,0.30830667311657206,0.26486117740503823,0.06782542865368936,0.1735196863896608,0.021088174910753796
21.40625,3.719534805400233e-05,0.04650399629743917,0.004320246381098989,0.46419660222086007,0.0002462952789729616,0.3016701496880915,0.2618486586316052,0.06720844055042273,0.17034470300110072,0.02057973029764259
21.42578125,3.719534805400233e-05,0.04650399629743917,0.004320246381098989,0.46419660222086007,0.0002462952789729616,0.3016701496880915,0.2618486586316052,0.06720844055042273,0.17034470300110072,0.02057973029764259
21.4453125,3.719672763074999e-05,0.046503046920556824,0.004320250871719547,0.46419652004024453,0.0002462951318138623,0.3016722365019185,0.26184957803973075,0.0672083041299086,0.1703458594529936,0.020579824505977975
21.46484375,3.719672763074999e-05,0.046503046920556824,0.004320250871719547,0.46419652004024453,0.0002462951318138623,0.3016722365019185,0.26184957803973075,0.0672083041299086,0.1703458594529936,0.020579824505977975
21.484375,3.720911143549591e-05,0.04651162836880063,0.004320226803206307,0.4604142163012454,0.0002462701736711866,0.3008291015911229,0.2614433762582833,0.06712804211749408,0.16992084555506043,0.020515872976749113
21.5234375,3.720911143549591e-05,0.04651162836880063,0.004320226803206307,0.4604142163012454,0.0002462701736711866,0.3008291015911229,0.2614433762582833,0.06712804211749408,0.16992084555506043,0.020515872976749113
21.5625,3.7658074330489013e-05,0.04663214235642425,0.004326887195928373,0.42758255398657447,0.00024513192344546706,0.294341012207288,0.25957660590325576,0.0667055333364474,0.1668443838497703,0.0200366309002267
21.58203125,3.7658074330489013e-05,0.04663214235642425,0.004326887195928373,0.42758255398657447,0.00024513192344546706,0.294341012207288,0.25957660590325576,0.0667055333364474,0.1668443838497703,0.0200366309002267
21.6015625,3.76583287174181e-05,0.04663137537727411,0.0043268895794490595,0.42758135532297675,0.0002451319399606318,0.29434236593659285,0.2595760961034483,0.06670569335438653,0.16685095523010704,0.020036830007941705
21.62109375,3.76583287174181e-05,0.04663137537727411,0.0043268895794490595,0.42758135532297675,0.0002451319399606318,0.29434236593659285,0.2595760961034483,0.06670569335438653,0.16685095523010704,0.020036830007941705
21.640625,3.7661809289712316e-05,0.046630935097764066,0.004326924490556415,0.42764183776767567,0.00024513214619004494,0.29441009550617553,0.25966262928491396,0.0667216547581489,0.16689420542793765,0.02004234144986984
21.66015625,3.7661809289712316e-05,0.046630935097764066,0.004326924490556415,0.42764183776767567,0.00024513214619004494,0.29441009550617553,0.25966262928491396,0.0667216547581489,0.16689420542793765,0.02004234144986984
21.6796875,3.766290834877921e-05,0.04663158063200434,0.004326935235088868,0.4276771123752099,0.00024513220297293285,0.29443441485785393,0.2596912567804584,0.06672653112690734,0.16690715220341149,0.020044175542870555
21.69921875,3.766290834877921e-05,0.04663158063200434,0.004326935235088868,0.4276771123752099,0.00024513220297293285,0.29443441485785393,0.2596912567804584,0.06672653112690734,0.16690715220341149,0.020044175542870555
21.71875,3.771521168014021e-05,0.04665225246847247,0.00432560609360519,0.4237869489361357,0.0002448105501297902,0.2940793573013576,0.260093155134713,0.06677351097344346,0.1666890142229928,0.020018841804611127
21.73828125,3.771521168014021e-05,0.04665225246847247,0.00432560609360519,0.4237869489361357,0.0002448105501297902,0.2940793573013576,0.260093155134713,0.06677351097344346,0.1666890142229928,0.020018841804611127
21.7578125,3.771837281232889e-05,0.046651800214088684,0.004325625599232909,0.42381187472699505,0.0002448104861932731,0.2940973334813566,0.2601128264572136,0.066776727523193,0.16669052889636063,0.020020259822511894
21.77734375,3.771837281232889e-05,0.046651800214088684,0.004325625599232909,0.42381187472699505,0.0002448104861932731,0.2940973334813566,0.2601128264572136,0.066776727523193,0.16669052889636063,0.020020259822511894
21.796875,3.772958117507443e-05,0.046651085658766474,0.004325695503499871,0.4239656593372039,0.0002448102135360305,0.2941947740355915,0.2602207987648569,0.06679547906098816,0.16672579076918714,0.020028063228907437
21.81640625,3.772958117507443e-05,0.046651085658766474,0.004325695503499871,0.4239656593372039,0.0002448102135360305,0.2941947740355915,0.2602207987648569,0.06679547906098816,0.16672579076918714,0.020028063228907437
21.8359375,3.77313272596057e-05,0.046653045670783516,0.004325715725986075,0.42403133312339336,0.00024481038130266743,0.29423329427808026,0.2602640702967259,0.06680286251184454,0.16674486173173675,0.020031004313544407
21.85546875,3.77313272596057e-05,0.046653045670783516,0.004325715725986075,0.42403133312339336,0.00024481038130266743,0.29423329427808026,0.2602640702967259,0.06680286251184454,0.16674486173173675,0.020031004313544407
21.875,3.859801423351935e-05,0.04662181771927831,0.0043689630916735,0.38793159075082567,0.0002451913908830929,0.2831046787602146,0.25523736670797037,0.06593982518312574,0.16170451643300474,0.01924001588335898
21.89453125,3.859801423351935e-05,0.04662181771927831,0.0043689630916735,0.38793159075082567,0.0002451913908830929,0.2831046787602146,0.25523736670797037,0.06593982518312574,0.16170451643300474,0.01924001588335898
21.9140625,3.860023354960914e-05,0.04662123222780061,0.004368981060033842,0.3871837814385998,0.0002451913940259217,0.28298021089913616,0.25519535955746026,0.06593110313597211,0.16165263131541804,0.01923047717688199
21.93359375,3.860023354960914e-05,0.04662123222780061,0.004368981060033842,0.3871837814385998,0.0002451913940259217,0.28298021089913616,0.25519535955746026,0.06593110313597211,0.16165263131541804,0.01923047717688199
21.953125,3.860543121056999e-05,0.0466176523138597,0.004369026886678356,0.3857862212619894,0.0002451957265168687,0.28249480719760883,0.2549696449363139,0.06588689486079259,0.16135482886638275,0.019193009514559062
21.97265625,3.860543121056999e-05,0.0466176523138597,0.004369026886678356,0.3857862212619894,0.0002451957265168687,0.28249480719760883,0.2549696449363139,0.06588689486079259,0.16135482886638275,0.019193009514559062
21.9921875,3.86058181865039e-05,0.0466175594576919,0.004369032990078272,0.3857240749926574,0.00024519784983139363,0.28246620048392285,0.25495603578451614,0.06588460564195203,0.16134032461898123,0.019190841092851355
22.01171875,3.86058181865039e-05,0.0466175594576919,0.004369032990078272,0.3857240749926574,0.00024519784983139363,0.28246620048392285,0.25495603578451614,0.06588460564195203,0.16134032461898123,0.019190841092851355
