,CHN_pro,USA_pro,IND_pro,ROW_pro,IDN_pro,CHN_con,USA_con,IND_con,JPN_con,IDN_con
-177.5,4.5239676417701274e-13,0.021820142621079654,1.8903058444838427e-07,0.34115657171477004,5.0123532702145377e-08,0.07129402474054758,0.05093508784831937,0.006179077852390289,0.03136770274847281,0.005586012791529657
-173.75,8.959507341005301e-13,0.03753115799867243,3.2323477236932687e-07,0.4695719600545629,8.469731397516333e-08,0.09842813029758521,0.07732076766874824,0.008564531499094006,0.043372608902785686,0.007706476210811063
-172.5,9.118052929642562e-13,0.0375694724132503,3.2939037657058336e-07,0.46835390198799653,8.642511520772762e-08,0.0982456895724624,0.07732828578842817,0.008554395195271906,0.04342943584316439,0.007691761113047274
-172.1875,9.118052929642562e-13,0.0375694724132503,3.2939037657058336e-07,0.46835390198799653,8.642511520772762e-08,0.0982456895724624,0.07732828578842817,0.008554395195271906,0.04342943584316439,0.007691761113047274
-171.875,9.13109758396297e-13,0.03757008123411892,3.2974222432305753e-07,0.46825718324098475,8.65192434042445e-08,0.09823778714600101,0.07733008552832425,0.00855503096378384,0.04345491049810616,0.007691065145280487
-171.796875,9.13109758396297e-13,0.03757008123411892,3.2974222432305753e-07,0.46825718324098475,8.65192434042445e-08,0.09823778714600101,0.07733008552832425,0.00855503096378384,0.04345491049810616,0.007691065145280487
-171.71875,9.13245923126204e-13,0.03757019905896707,3.2977967914128137e-07,0.46825108800695836,8.652927125090532e-08,0.09820620498079369,0.07730336595382083,0.008549934021411453,0.04337210289105949,0.007688784670064507
-171.640625,9.13245923126204e-13,0.03757019905896707,3.2977967914128137e-07,0.46825108800695836,8.652927125090532e-08,0.09820620498079369,0.07730336595382083,0.008549934021411453,0.04337210289105949,0.007688784670064507
-171.5625,9.1372305681101e-13,0.0375709483323632,3.29920885612343e-07,0.4682413559976913,8.656746876812397e-08,0.09817528710945062,0.0772783334025361,0.008545022200231117,0.04329258463243481,0.007686547690669526
-171.40625,9.1372305681101e-13,0.0375709483323632,3.29920885612343e-07,0.4682413559976913,8.656746876812397e-08,0.09817528710945062,0.0772783334025361,0.008545022200231117,0.04329258463243481,0.007686547690669526
