,ADM0_A3,NAME,net_export,export_of_death,import_of_death,population,final_demand,CONTINENT,CONTINENT_code,net_export_capita,final_demand_capita
27,BRN,Brunei,215.59512886869095,243.40530454388664,27.810175675195687,470702.8486485294,9453401857.905352,Asia,1,0.00045802809455626297,20083.58752246291
28,BGR,Bulgaria,-6006.9582757742855,2065.210394032816,8072.168669807102,7748474.110322319,47548503851.55226,Europe,2,-0.0007752440274365722,6136.499028655121
29,BFA,Burkina Faso,-430.1701228087262,373.17048666904395,803.3406094777702,22817887.22274652,13379662711.48516,Africa,0,-1.8852320489159993e-05,586.3672907519389
30,BDI,Palestine,-146.50265290370976,530.1208025012836,676.6234554049934,11301644.91717482,2339158904.9250593,Africa,0,-1.2962949550916561e-05,206.9750838986544
31,KHM,Cambodia,-2590.383176736282,1151.0636733167203,3741.4468500530024,19746552.595341418,20635439324.86054,Asia,1,-0.00013118153987787227,1045.014780439641
32,CMR,Cameroon,-896.3326559361544,571.1688498072692,1467.5015057434236,28523807.77659907,30938063113.43513,Africa,0,-3.142401824315706e-05,1084.640008646276
33,CAN,Canada,14839.72582534375,19041.33824319827,4201.612417854521,37341553.20510497,1569960117612.4033,North America,3,0.00039740515730114323,42043.24627283511
34,CPV,Cabo Verde,29.206577354644267,70.69289753680074,41.486320182156476,546389.9238095387,1289046866.4062788,Africa,0,5.345372614306323e-05,2359.2068781554185
35,CYM,Cayman Is.,54.273117954132836,69.37009522116695,15.096977267034115,76245.85893920258,4877382477.385685,North America,3,0.0007118172541988083,63969.14593453323
36,CAF,Central African Rep.,-202.85723974644907,112.51232530461074,315.3695650510598,5602344.504548933,1861157551.3595932,Africa,0,-3.620934763682154e-05,332.2104789964969
37,TCD,Chad,-86.85735787473135,448.79039264377985,535.6477505185112,16456546.893724857,10278058819.175972,Africa,0,-5.2779819749337235e-06,624.5574412147885
38,CHL,Chile,1047.4281357180498,3775.6803575638023,2728.2522218457525,20824657.92559088,246661427033.35635,South America,6,5.029749537594529e-05,11844.680854528733
39,CHN,China,-218437.64546950755,121772.32880297897,340209.9742724865,1444650062.0503728,10863777758054.498,Asia,1,-0.00015120453818378817,7520.006431616859
40,COL,Colombia,-2598.616708609734,3696.827682475354,6295.444391085088,63121337.87326199,301922799724.9521,South America,6,-4.116859363512478e-05,4783.212933971187
41,COG,Congo,380.76918433510116,804.5686561801101,423.79947184500895,4139554.3157699164,10640117102.611137,Africa,0,9.198313520963714e-05,2570.35330158053
42,CRI,Costa Rica,25.861149012981286,605.5446709821082,579.6835219691269,4841872.435015336,55061557150.40954,North America,3,5.341146294140105e-06,11371.955351862784
43,HRV,Croatia,-784.2638553678476,1304.1434515210995,2088.407306888947,4192379.7697633607,48272473513.39102,Europe,2,-0.00018706889605378364,11514.337002946602
44,CUB,Cuba,294.17100329046025,1859.6359251699487,1565.4649218794884,11192004.56509914,86050202459.81522,North America,3,2.6284031746001564e-05,7688.542473271675
45,CYP,Cyprus,847.7860425600713,1244.8610729501943,397.07503039012295,1276044.5452763836,26021351137.573494,Asia,1,0.0006643859304899469,20392.196521585713
46,CZE,Czechia,2266.2077100848564,6789.023953664426,4522.816243579569,10844928.52745556,162893938402.87225,Europe,2,0.00020896474369080554,15020.28694707225
47,CIV,Côte d'Ivoire,256.40473691824195,881.0381179808822,624.6333810626403,26578876.832305625,31181678423.809383,Africa,0,9.646936495322166e-06,1173.1751729218756
48,PRK,North Korea,-10263.032684904741,2556.3133200410257,12819.346004945766,23227901.768628843,16924886004.382893,Asia,1,-0.00044184071325657987,728.6446349295879
49,COD,Dem. Rep. Congo,-4930.541898777621,1762.4920779240038,6693.033976701625,113508357.1621959,39436224103.04995,Africa,0,-4.343769940861891e-05,347.43013720741465
50,DNK,Denmark,1592.4608055838585,2759.2276522209295,1166.766846637071,6017158.3028201405,288806826278.5319,Europe,2,0.0002646533006847267,47997.212595050565
51,DJI,Djibouti,133.7431098362431,203.14723876792993,69.40412893168684,1155701.9532031757,2088224941.644833,Africa,0,0.0001157245684889231,1806.888822725488
52,DOM,Dominican Rep.,939.8736256211942,2504.7123676134297,1564.8387419922356,12357360.7402127,69797234361.06902,North America,3,7.605779627058267e-05,5648.231513865123
53,ECU,Ecuador,-903.8368320252539,1193.3116799689014,2097.1485119941553,17735114.742019504,96688811012.05623,South America,6,-5.096312288771432e-05,5451.828895303005
54,EGY,Egypt,-1475.1575660103808,9830.461989628086,11305.619555638466,96238644.37488292,291785055770.99884,Africa,0,-1.5328120793806384e-05,3031.8907510209183
55,SLV,El Salvador,-1112.436025725738,521.489506315669,1633.9255320414072,6706171.926164583,27493879910.203323,North America,3,-0.0001658824196536766,4099.787511103628
56,ERI,Eritrea,-56.315117451006984,500.9036264390458,557.2187438900528,4390527.869685245,5019149032.949252,Africa,0,-1.2826502671771946e-05,1143.1766707607924
57,EST,Estonia,488.15814735486947,556.9159532503043,68.75780589543477,1371749.0045565718,22968037972.50879,Europe,2,0.00035586550143892415,16743.615556647244
58,ETH,Ethiopia,-6203.554926312141,2143.501538120337,8347.056464432479,104382901.15299813,19843291650.941845,Africa,0,-5.943075789031142e-05,190.10097852958455
59,FJI,Fiji,94.18770304951812,94.18770304951812,0.0,106903.40637032525,4024750059.101806,Oceania,4,0.0008810542736425206,37648.473474826664
60,FIN,Finland,2208.5429724729806,2342.385800412761,133.8428279397802,5596608.085104298,239237800701.14728,Europe,2,0.0003946216956572585,42746.92761458369
61,FRA,France,25222.65662576353,29864.606945374573,4641.950319611042,70377496.19436277,2467952681649.7246,Europe,2,0.0003583909344558902,35067.35554834085
62,PYF,Fr. Polynesia,67.61242392719271,69.96877674011378,2.356352812921068,315490.16682061437,5515386331.644924,Oceania,4,0.0002143091323845814,17481.95954006052
63,GAB,Gabon,-156.10238267703926,214.875160894089,370.97754357112825,3380837.4190545925,10599981804.111639,Africa,0,-4.6172697272349544e-05,3135.312495173396
64,GMB,Gambia,-47.969320487848236,55.762928225649134,103.73224871349737,2300513.442152268,1623605502.3545098,Africa,0,-2.085157148352503e-05,705.7578854377525
65,GEO,Georgia,-1764.2494108182048,763.1042184584696,2527.3536292766744,3821296.326393792,17314759006.31378,Asia,1,-0.0004616887202995718,4531.121778418568
66,DEU,Germany,18592.731576065387,39887.68687700767,21294.95530094228,78500476.74146684,3172201307445.27,Europe,2,0.00023684864535662142,40409.962322809646
67,GHA,Ghana,652.3424223878392,1953.2315372123621,1300.889114824523,32926166.37494388,53846898718.10159,Africa,0,1.9812279843312036e-05,1635.3831814164055
68,GRC,Greece,-1877.0852917686107,4833.923036118801,6711.008327887412,10817606.547032954,192966386600.03085,Europe,2,-0.000173521313019418,17838.177582171127
69,GRL,Greenland,33.56877303739941,33.56877303739941,0.0,57713.64826779003,2200413664.6419754,North America,3,0.0005816435807634454,38126.40043880272
70,GTM,Guatemala,-871.5800025843146,1152.3133275396167,2023.8933301239313,18177871.572523966,73117665971.1282,North America,3,-4.794730775310991e-05,4022.3447326829114
71,GIN,Guinea,-71.71225529142998,624.7562187783363,696.4684740697663,12555206.720345592,11086966976.596214,Africa,0,-5.7117542457680895e-06,883.0573023246117
72,GUY,Guyana,1007.5124788353849,1013.6397322157619,6.127253380377018,760624.4015528355,28867441935.625797,South America,6,0.0013245860595301974,37952.29534668113
73,HTI,Haiti,-3723.582587566705,880.1217018205771,4603.704289387282,14578222.461582463,9296729489.656445,North America,3,-0.0002554208921821125,637.713515084286
74,HND,Honduras,-11.405136628796754,867.8057705700191,879.2109071988159,9673436.96266998,25131390621.470474,North America,3,-1.179015966383969e-06,2597.979468771348
75,HKG,Hong Kong,12674.94909674861,17347.16229872397,4672.213201975361,7802933.986956937,318010351549.6425,Asia,1,0.0016243824589488433,40755.22772347114
76,HUN,Hungary,-3755.094256396076,2655.6073939152784,6410.701650311355,9426952.174994983,114474322521.20682,Europe,2,-0.00039833598247761076,12143.301503623863
77,ISL,Iceland,219.04149495045263,219.04149495045263,0.0,367043.51601354964,17399848191.21717,Europe,2,0.0005967725498313027,47405.409527994074
78,IND,India,-129200.3411429341,103782.51871109201,232982.85985402612,1409461099.7670755,2166777604790.2478,Asia,1,-9.166648243380784e-05,1537.3092631987677
79,IDN,Indonesia,-11793.118078256724,13844.264265712438,25637.382343969162,284365639.91343296,926889215755.3431,Asia,1,-4.1471670353165044e-05,3259.497933848507
80,IRN,Iran,15849.17811539777,27172.516467068577,11323.338351670807,80448963.42585444,391201626432.0962,Asia,1,0.00019700910292032685,4862.730478717057
81,IRQ,Iraq,8037.762190584562,12873.12078105099,4835.358590466428,44380745.79352259,146652335839.04083,Asia,1,0.00018110921857824393,3304.4135067339244
82,IRL,Ireland,4153.314909785793,4280.457360351894,127.14245056610113,5554424.534577573,226917650823.7391,Europe,2,0.0007477489133087417,40853.49425689816
83,ISR,Israel,4819.170389787656,6544.025944493197,1724.8555547055414,8551992.29441714,312756933258.7394,Asia,1,0.0005635143512621823,36571.2365600366
84,ITA,Italy,6573.673536983486,20454.51295719232,13880.839420208835,62099119.1734922,1786820714156.2637,Europe,2,0.00010585775812081957,28773.688547244175
85,JAM,Jamaica,-561.2154795847721,418.89646436490773,980.1119439496798,2783567.5918359016,16208129150.036694,North America,3,-0.00020161733497357702,5822.789860599944
86,JPN,Japan,17296.31739527703,56446.730988432246,39150.413593155215,128829642.50616169,4716597740307.834,Asia,1,0.0001342572800700722,36611.12185483436
87,JOR,Jordan,1587.0314537657564,2527.0751312589946,940.0436774932382,7038267.686109754,48119823883.1434,Asia,1,0.00022548608898434108,6836.884589955197
88,KAZ,Kazakhstan,3980.870943360187,7666.632828854961,3685.761885494774,18581398.037766114,124862490230.92953,Asia,1,0.000214239581718727,6719.757575675974
89,KEN,Kenya,2148.683226719313,3207.0094821810408,1058.3262554617277,55116273.386045925,72801471250.81758,Africa,0,3.898455201550884e-05,1320.8707116480975
90,KWT,Kuwait,11256.12145584595,11495.45283701382,239.3313811678691,3639122.521693916,99818271112.54216,Asia,1,0.0030930866956923784,27429.214190370094
91,KGZ,Kyrgyzstan,-465.87985964721065,1126.5341409948173,1592.414000642028,6116964.314036992,9224953410.363132,Asia,1,-7.616193845991975e-05,1508.0933837057112
92,LAO,Laos,352.3231410725148,1648.8866950361971,1296.5635539636824,7847970.277154484,16689619318.292816,Asia,1,4.489353662540374e-05,2126.6160203073728
93,LVA,Latvia,376.5495628252916,602.7770118492292,226.2274490239376,2487001.658762805,26783320266.68184,Europe,2,0.0001514070412854536,10769.32143262244
94,LBN,Lebanon,1820.842929383613,4660.635410051411,2839.792480667798,10047227.834163321,58486105680.51894,Asia,1,0.00018122839050113397,5821.118685260644
95,LSO,Lesotho,-334.11406534043095,172.44878596028917,506.5628513007201,1654606.0510468106,2620074307.8005114,Africa,0,-0.00020192967693370204,1583.503400185732
96,LBR,Liberia,220.26624745862978,315.2770485396216,95.01080108099183,4630175.87565457,1509432979.020723,Africa,0,4.7571896483843746e-05,325.9990591193977
97,LBY,Libya,2500.6436475339437,2830.186221478729,329.54257394478515,6918753.53670441,22264899115.48369,Africa,0,0.0003614297914021473,3218.050621021119
98,LIE,Liechtenstein,250.61028447182372,254.95601185953464,4.34572738771091,25821.038684389114,4910558016.544179,Europe,2,0.009705662407118336,190176.62598960454
99,LTU,Lithuania,511.6374771117289,1036.2004624467845,524.5629853350556,2761872.1691458095,42746679416.132095,Europe,2,0.0001852502381636178,15477.42864194644
100,LUX,Luxembourg,446.3842771151718,524.4810189050978,78.09674178992597,575801.6837999927,38554368405.36774,Europe,2,0.000775239617517731,66957.7208439699
101,MAC,Macao,445.50515654162007,903.4421989751519,457.9370424335318,604105.5709188867,27666802768.425323,Asia,1,0.0007374624204573642,45797.9599928903
102,MDG,Madagascar,100.34931011757408,463.6866638251479,363.3373537075738,27901050.812395375,10788464380.853464,Africa,0,3.596614005412036e-06,386.668747832987
103,MWI,Malawi,116.2818048589005,411.49183948434074,295.21003462544024,18571766.306657054,5791870082.268638,Africa,0,6.2612140891100525e-06,311.8642560235394
104,MYS,Malaysia,2782.09022492899,9240.839267478033,6458.749042549043,35009124.87433841,275582082251.335,Asia,1,7.946757409432575e-05,7871.721536613899
105,MDV,Maldives,201.25174646874828,270.64107896888675,69.38933250013847,590955.829051213,3374814516.5576205,Other,5,0.0003405529424963292,5710.772871089075
