,ADM0_A3,NAME,net_export,export_of_death,import_of_death,population,final_demand,CONTINENT,CONTINENT_code,net_export_capita,final_demand_capita
176,GBR,United Kingdom,27933.41157481333,31098.098405908266,3164.686831094935,67870154.6076861,2739457652435.5234,Europe,2,0.00041157135616204935,40363.215146194576
177,TZA,Tanzania,604.0797819972022,2377.613149787626,1773.5333677904237,56409386.32829301,50204638629.211525,Africa,0,1.0708852219762875e-05,890.0050487525089
178,USA,United States of America,143944.0207028626,163454.98298085522,19510.962277992643,345311178.86014754,19592997213328.26,North America,3,0.0004168530575176094,56740.11851572146
179,URY,Uruguay,438.09701970339756,824.940900618084,386.84388091468645,3395010.2664307333,51943409392.89977,South America,6,0.0001290414417992264,15299.927044847876
180,UZB,Uzbekistan,5240.532562348583,10168.105324613934,4927.572762265351,33101538.034843106,75304730468.3166,Asia,1,0.0001583168901950215,2274.96167667647
181,VUT,Vanuatu,32.5862412340666,32.5862412340666,0.0,304752.3538282409,631055789.6363199,Oceania,4,0.00010692695503324079,2070.7167039372052
182,VEN,Venezuela,14588.784775201462,15776.362843928706,1187.5780687272436,32290327.555760123,387381027137.7141,South America,6,0.00045180045789281674,11996.813177840031
183,VNM,Vietnam,-21990.234198175836,10082.443550508226,32072.677748684062,98951432.16782682,199528072175.20435,Asia,1,-0.00022223260155425793,2016.424298304185
184,YEM,Yemen,-156.56802725350008,2816.760748832362,2973.328776085862,30427376.92793264,31664818323.398823,Asia,1,-5.145630121989551e-06,1040.6686845993024
185,ZMB,Zambia,188.92746926921063,1656.877956415276,1467.9504871460654,18616945.770926997,22021205628.327152,Africa,0,1.014814522177143e-05,1182.8581282498224
186,ZWE,Zimbabwe,162.21683066450578,716.0103469345825,553.7935162700767,14269305.281846115,19620512884.431007,Africa,0,1.1368236046563769e-05,1375.0152860905482
