Country,Industries,TID,TFD,FID,FFD,HID,HFD,Gross_output,Tol_export
AFG,Agriculture,1538277.896930148,2982180.3607235127,1118980.0967001482,488129.03292351146,419297.8002299997,2494051.327800001,4520458.257653661,1607109.1296236597
AFG,Fishing,82054.38934540558,102197.6483594822,32898.47844140557,694.2201394822,49155.91090400001,101503.42822,184252.0377048878,33592.698580887765
AFG,Mining and Quarrying,257140.3741911791,22295.616479151835,40842.0446191791,702.2048091518429,216298.329572,21593.41166999999,279435.99067033094,41544.24942833094
AFG,Food & Beverages,482259.8170635453,849669.0949952565,6116.601833545262,416.376645256619,476143.21523000003,849252.7183499999,1331928.9120588019,6532.978478801881
AFG,Textiles and Wearing Apparel,152676.85510215157,149490.86066414727,23577.073862151574,2232.773464147259,129099.78124,147258.0872,302167.7157662988,25809.847326298834
AFG,Wood and Paper,726540.6286106665,72214.7524814628,55124.66758766662,278.707421462802,671415.9610229998,71936.04505999999,798755.3810921293,55403.37500912942
AFG,"Petroleum, Chemical and Non-Metallic Mineral Products",1579368.4920322208,384283.3688326629,28359.264708220813,550.119562662911,1551009.227324,383733.24927,1963651.8608648838,28909.384270883726
AFG,Metal Products,801198.5597698062,30121.275948163595,46554.04856980633,447.26544816358995,754644.5111999998,29674.010500000004,831319.8357179698,47001.31401796992
AFG,Electrical and Machinery,1424333.6172151153,722232.3798543309,128460.83613411509,976.9788543309991,1295872.7810810003,721255.401,2146565.9970694464,129437.81498844609
AFG,Transport Equipment,503786.5932629267,496008.28528779926,61726.19925292674,650.848287799336,442060.39400999993,495357.4369999999,999794.878550726,62377.047540726075
AFG,Other Manufacturing,215402.13917805528,135386.67419263226,27320.18241805527,722.065192632261,188081.95676,134664.609,350788.81337068754,28042.24761068753
AFG,Recycling,30245.01883593675,78956.09449691708,11311.518357936744,434.738280917094,18933.500478000005,78521.35621599999,109201.11333285383,11746.256638853838
AFG,"Electricity, Gas and Water",409886.9849773069,304085.03593746945,59620.385006306926,154.002342469534,350266.599971,303931.0335949999,713972.0209147764,59774.38734877646
AFG,Construction,987508.5697254353,1900858.636656839,204108.55626043543,1638.939166438321,783400.0134649999,1899219.6974904006,2888367.206382274,205747.49542687376
AFG,Maintenance and Repair,34290.51421750759,68959.50122416909,15058.957861507584,1303.067294169066,19231.556356000005,67656.43393000001,103250.01544167667,16362.02515567665
AFG,Wholesale Trade,990389.3646132551,780350.3456371092,86919.70346625507,1157.966637109274,903469.661147,779192.379,1770739.7102503644,88077.67010336435
AFG,Retail Trade,261181.64572712372,1363418.1673922755,119243.1892371237,1181.035474475339,141938.45649,1362237.1319178003,1624599.8131193994,120424.22471159905
AFG,Hotels and Restraurants,274241.62044834683,933463.2953252185,95121.06535234682,2770.891927718548,179120.55509600003,930692.4033974999,1207704.9157735654,97891.95728006537
AFG,Transport,1349907.826217061,1558251.016986489,216517.20856406048,16226.187986488985,1133390.6176530004,1542024.8290000001,2908158.84320355,232743.39655054946
AFG,Post and Telecommunications,1404828.6340647773,1882053.4084145832,295120.8849497774,2781.249314582733,1109707.749115,1879272.1591000005,3286882.0424793605,297902.1342643601
