Country,Industries,TID,TFD,FID,FFD,HID,HFD,Gross_output,Tol_export
AFG,Agriculture,1538228.1285874404,2982172.828618912,1118930.3283574404,488121.50081891095,419297.80022999994,2494051.327800001,4520400.957206353,1607051.8291763514
AFG,Fishing,82045.55886101813,102195.1633918822,32889.64795701812,691.7351718822,49155.91090400001,101503.42822,184240.72225290033,33581.38312890032
AFG,Mining and Quarrying,257137.5549413659,22295.11184061269,40839.22536936591,701.7001706126999,216298.329572,21593.41166999999,279432.66678197857,41540.925539978605
AFG,Food & Beverages,482258.7462495531,849668.9189292926,6115.531019553043,416.2005792926,476143.2152300001,849252.71835,1331927.6651788456,6531.731598845643
AFG,Textiles and Wearing Apparel,152673.91694603313,149490.54510887922,23574.135706033107,2232.4579088791997,129099.78124000003,147258.0872,302164.46205491235,25806.593614912308
AFG,Wood and Paper,726539.5886695212,72214.5612245868,55123.627646521185,278.51616458679996,671415.961023,71936.04505999999,798754.149894108,55402.143811107984
AFG,"Petroleum, Chemical and Non-Metallic Mineral Products",1579366.0367129084,384283.1119040908,28356.80938890831,549.8626340907999,1551009.227324,383733.24927,1963649.1486169992,28906.67202299911
AFG,Metal Products,801196.4164527564,30121.042699383204,46551.90525275639,447.0321993832,754644.5112,29674.010500000004,831317.4591521396,46998.93745213959
AFG,Electrical and Machinery,1424330.917352964,722232.0912648502,128458.13627196378,976.6902648504001,1295872.781081,721255.4009999998,2146563.008617814,129434.82653681419
AFG,Transport Equipment,503785.27579157153,496008.0724391189,61724.88178157164,650.635439119,442060.3940099999,495357.4369999999,999793.3482306905,62375.51722069064
AFG,Other Manufacturing,215399.6983382316,135386.4205653604,27317.741578231635,721.8115653604,188081.95675999997,134664.609,350786.118903592,28039.553143592035
AFG,Recycling,30243.66472986726,78955.80956036039,11310.164251867263,434.4533443604,18933.500477999998,78521.35621599999,109199.47429022765,11744.617596227663
AFG,"Electricity, Gas and Water",409886.092512307,304084.8735903837,59619.49254130706,153.83999538376,350266.59997099993,303931.0335949999,713970.9661026907,59773.33253669082
AFG,Construction,987504.5833582144,1900858.1545342417,204104.56989321447,1638.4570438411001,783400.0134649999,1899219.6974904006,2888362.737892456,205743.02693705558
AFG,Maintenance and Repair,34287.345015382416,68959.14507300711,15055.788659382415,1302.7111430071,19231.556356,67656.43393000001,103246.49008838952,16358.499802389515
AFG,Wholesale Trade,990386.5903410614,780350.0635665302,86916.92919406136,1157.6845665302,903469.661147,779192.3790000001,1770736.6539075915,88074.61376059156
AFG,Retail Trade,261179.00988191005,1363417.9050726981,119240.55339191006,1180.773154898,141938.45649,1362237.1319178,1624596.9149546083,120421.32654680805
AFG,Hotels and Restraurants,274238.888373045,933463.0364116292,95118.33327704498,2770.6330141293,179120.55509600003,930692.4033974998,1207701.9247846743,97888.96629117428
AFG,Transport,1349899.3186525512,1558249.952505514,216508.70099955105,16225.1235055137,1133390.6176530002,1542024.8290000004,2908149.271158065,232733.82450506475
AFG,Post and Telecommunications,1404819.7568662972,1882052.249652815,295112.0077512975,2780.0905528147,1109707.7491149998,1879272.1591000003,3286872.0065191123,297892.0983041122
AFG,Finacial Intermediation and Business Activities,5717936.061476078,1987928.9666124666,118919.3179780772,100.40761246695999,5599016.743498,1987828.5589999997,7705865.0280885445,119019.72559054417
AFG,Public Administration,200392.22232254365,1800680.7218848588,155095.14316454367,963.870649859,45297.07915799998,1799716.8512349997,2001072.9442074024,156059.01381440266
AFG,"Education, Health and Other Services",757156.1026445761,2300971.416293711,237705.75919657614,1453.9002637107,519450.34344799997,2299517.51603,3058127.518938287,239159.65946028684
AFG,Private Households,10355.63523174427,63103.872144715,8897.98435874427,1258.871561215,1457.6508730000005,61845.000583500005,73459.50737645927,10156.855919959271
AFG,Others,77865.23802924732,53823.90077741959,8473.357068247306,130.1424699196,69391.88096100002,53693.75830749999,131689.13880666692,8603.499538166905
AFG,Re-export & Re-import,8219.316975370148,2075.7021915238,8097.0271653701475,2066.0542575238,122.28981000000022,9.647934000000078,10295.019166893948,10163.081422893947
ALB,Agriculture,1973922.636767055,801218.6363646656,1111399.481467055,311994.47056466556,862523.1553,489224.1658,2775141.2731317207,1423393.9520317204
ALB,Fishing,96973.08593250369,36768.657935691605,51540.99547850368,13533.814755691601,45432.090454000005,23234.843180000003,133741.74386819528,65074.81023419528
